continent,"AVG Percent Spent",year
AF,4.02,2001
AF,3.94,2002
AF,4.27,2003
AF,4.07,2004
AF,4.27,2005
AF,4.27,2006
AF,4.15,2007
AF,4.08,2008
AF,4.39,2009
AF,4.14,2010
AF,3.66,2011
AF,3.87,2012
AF,3.66,2013
AF,3.9,2014
AF,4.03,2015
AF,3.78,2016
AF,4.23,2017
AF,4.28,2018
AF,5.21,2019
